financial_year,revenue_from_operations_cr,profit_after_tax_cr,net_cash_from_operating_activities_cr,auto_free_cash_flow_cr,revenue_from_operations_cr_yoy_growth_pct,profit_after_tax_cr_yoy_growth_pct,net_cash_from_operating_activities_cr_yoy_growth_pct,auto_free_cash_flow_cr_yoy_growth_pct
FY2021,249794.75,-13395.1,29000.51,5317.0,,,,
FY2022,278453.62,-11308.76,14282.83,-9254.0,11.47,-15.58,-50.75,-274.05
FY2023,345966.97,2689.87,35388.01,7840.0,24.25,-123.79,147.77,-184.72
FY2024,437927.77,31806.75,67915.36,26924.0,26.58,1082.46,91.92,243.42
FY2025,439695.0,28149.0,63102.0,22348.0,0.4,-11.5,-7.09,-17.0
