financial_year,revenue_from_operations_cr,profit_after_tax_cr,total_assets_cr,total_equity_cr,total_liabilities_cr,net_cash_from_operating_activities_cr,auto_free_cash_flow_cr,net_profit_margin_pct,return_on_assets_pct,return_on_equity_pct,current_ratio,quick_ratio,cash_ratio,working_capital_cr,debt_to_equity_ratio,debt_ratio,operating_cash_flow_margin_pct,free_cash_flow_margin_pct,asset_turnover_ratio
FY2021,249794.75,-13395.1,343125.8,56820.21,286305.59,29000.51,5317.0,-5.36,-3.9,-23.57,0.93,0.7,0.32,-10861.54,2.02,0.83,11.61,2.13,0.728
FY2022,278453.62,-11308.76,330619.93,48832.3,281787.63,14282.83,-9254.0,-4.06,-3.36,-21.41,0.98,0.74,0.4,-3705.27,2.86,0.85,5.13,-3.32,0.827
FY2023,345966.97,2689.87,336081.38,52599.51,283481.87,35388.01,7840.0,0.78,0.81,5.3,0.98,0.71,0.33,-3498.86,2.39,0.84,10.23,2.27,1.038
FY2024,437927.77,31806.75,370663.96,93093.93,277570.03,67915.36,26924.0,7.26,9.0,43.66,0.97,0.69,0.31,-5224.85,1.06,0.75,15.51,6.15,1.239
FY2025,439695.0,28149.0,378642.0,122754.0,255888.0,63102.0,22348.0,6.4,7.51,26.08,0.96,0.68,0.37,-6359.0,0.51,0.68,14.35,5.08,1.174
