financial_year,revenue_from_operations_cr,profit_after_tax_cr,net_profit_margin_pct,return_on_assets_pct,return_on_equity_pct,current_ratio,debt_to_equity_ratio,operating_cash_flow_margin_pct,free_cash_flow_margin_pct
FY2021,249794.75,-13395.1,-5.36,-3.9,-23.57,0.93,2.02,11.61,2.13
FY2022,278453.62,-11308.76,-4.06,-3.36,-21.41,0.98,2.86,5.13,-3.32
FY2023,345966.97,2689.87,0.78,0.81,5.3,0.98,2.39,10.23,2.27
FY2024,437927.77,31806.75,7.26,9.0,43.66,0.97,1.06,15.51,6.15
FY2025,439695.0,28149.0,6.4,7.51,26.08,0.96,0.51,14.35,5.08
