financial_year,year_end,profit_for_year,depreciation_and_amortisation,cash_flow_before_working_capital_changes,cash_generated_from_operations,income_tax_paid,net_cash_from_operating_activities,payments_for_property_plant_equipment,payments_for_intangible_assets,total_capex_payments,proceeds_from_sale_of_property_plant_equipment,interest_received,dividend_received,net_cash_used_in_investing_activities,proceeds_from_long_term_borrowings,repayment_of_long_term_borrowings,proceeds_from_short_term_borrowings,repayment_of_short_term_borrowings,interest_paid,dividend_paid,net_cash_from_financing_activities,net_increase_decrease_cash_equivalents,opening_cash_and_cash_equivalents,cash_reclassified_or_disposed,effect_of_fx_on_cash,closing_cash_and_cash_equivalents,auto_free_cash_flow,source_report,unit,notes
FY2020_21,2021-03-31,-13395.1,23546.71,31197.64,31105.07,-2104.56,29000.51,-11775.65,-8429.75,-20205.4,350.58,427.51,18.37,-26126.25,29642.36,-18629.61,20807.15,-11078.93,-8122.94,-1.56,9904.2,12778.46,18467.8,0.0,453.75,31700.01,5317.0,tata-motor-IAR-2021-22.pdf / tata-motor-IAR-2020-21.pdf,INR crore,FY21 cash-flow figures taken from consolidated cash-flow statement; auto FCF from FY21 management discussion.
FY2021_22,2022-03-31,-11308.76,24835.69,26942.77,16192.47,-1909.64,14282.83,-9039.4,-6129.02,-15168.42,230.1,652.94,32.01,-4775.12,31308.62,-23355.8,16866.24,-19460.45,-9251.42,-1.53,-3380.17,6127.54,31700.01,0.0,331.46,38159.01,-9254.0,tata-motor-IAR-2022-23.pdf / tata-motor-IAR-2021-22.pdf,INR crore,FY22 values use latest comparative where available; auto FCF from FY22 management discussion.
FY2022_23,2023-03-31,2689.87,24860.36,41694.13,38567.0,-3178.99,35388.01,-8492.63,-9603.05,-18095.68,285.03,973.44,46.42,-16804.16,16315.06,-31559.46,28125.45,-30997.82,-9335.96,0.0,-26242.9,-7659.05,38159.01,0.0,1386.99,31886.95,7840.0,tata-motor-IAR-2023-24.pdf / tata-motor-IAR-2022-23.pdf,INR crore,FY23 values taken from consolidated cash-flow statement / MD&A summary.
FY2023_24,2024-03-31,31806.75,27270.13,65106.46,72431.63,-4516.27,67915.36,-12974.74,-18438.89,-31413.629999999997,231.09,2492.74,46.7,-22828.09,11629.4,-31675.2,10194.1,-15656.51,-9332.32,-769.27,-37005.99,8081.28,31886.95,0.0,46.53,40014.76,26924.0,tata-motor-IAR-2024-25.pdf / tata-motor-IAR-2023-24.pdf,INR crore,FY24 cash-flow values include latest re-presented FY24 where used in FY25 report; auto FCF from FY25/FY24 MD&A.
FY2024_25,2025-03-31,28149.0,23256.0,58937.0,67093.0,-3991.0,63102.0,-15189.0,-22853.0,-38042.0,974.0,2420.0,64.0,-47594.0,7386.0,-19600.0,846.0,-1843.0,-5814.0,-2303.0,-18786.0,-3278.0,40015.0,-3231.0,843.0,34349.0,22348.0,tata-motor-IAR-2024-25.pdf,INR crore,FY25 consolidated cash-flow statement; cash_reclassified_or_disposed combines held-for-sale reclassification and TMFL merger disposal.
