financial_year,revenue_from_operations_cr,total_income_cr,profit_before_tax_cr,profit_after_tax_cr,total_assets_cr,total_equity_cr,total_liabilities_cr,current_assets_cr,current_liabilities_cr,cash_and_cash_equivalents_cr,current_investments_cr,total_borrowings_cr,net_cash_from_operating_activities_cr,auto_free_cash_flow_cr,capex_payments_cr,net_profit_margin_pct,pbt_margin_pct,expense_to_income_ratio_pct,return_on_assets_pct,return_on_equity_pct,asset_turnover_ratio,current_ratio,quick_ratio,cash_ratio,working_capital_cr,debt_to_equity_ratio,debt_ratio,operating_cash_flow_margin_pct,free_cash_flow_margin_pct,capex_to_revenue_pct,source_income_statement,source_balance_sheet,source_cash_flow,notes
FY2020-21,249794.75,252437.94,-10474.28,-13395.1,343125.8,56820.21,286305.59,146887.64,157749.18,31700.01,19051.19,114775.56,29000.51,5317.0,-20205.4,-5.36,-4.19,98.7,-3.9,-23.57,0.728,0.93,0.7,0.32,-10861.54,2.02,0.83,11.61,2.13,8.09,income_statement_combined_FY2021_to_FY2025.csv,balance_sheet_combined_FY2021_to_FY2025.csv,cash_flow_statement_combined_FY2021_to_FY2025.csv,ROA/ROE/asset turnover use average assets/equity from available year-end balances; FY2020-21 uses closing balance due to no FY2020 data in this project. Current assets include assets classified as held-for-sale where reported. Cash ratio uses cash plus current investments.
FY2021-22,278453.62,281507.25,-7003.41,-11308.76,330619.93,48832.3,281787.63,146977.54,150682.81,38159.01,22709.22,139677.04,14282.83,-9254.0,-15168.42,-4.06,-2.52,102.26,-3.36,-21.41,0.827,0.98,0.74,0.4,-3705.27,2.86,0.85,5.13,-3.32,5.45,income_statement_combined_FY2021_to_FY2025.csv,balance_sheet_combined_FY2021_to_FY2025.csv,cash_flow_statement_combined_FY2021_to_FY2025.csv,ROA/ROE/asset turnover use average assets/equity from available year-end balances; FY2020-21 uses closing balance due to no FY2020 data in this project. Current assets include assets classified as held-for-sale where reported. Cash ratio uses cash plus current investments.
FY2022-23,345966.97,350600.15,3057.55,2689.87,336081.38,52599.51,283481.87,151528.47,155027.33,31886.95,18838.31,125660.47,35388.01,7840.0,-18095.68,0.78,0.88,99.58,0.81,5.3,1.038,0.98,0.71,0.33,-3498.86,2.39,0.84,10.23,2.27,5.23,income_statement_combined_FY2021_to_FY2025.csv,balance_sheet_combined_FY2021_to_FY2025.csv,cash_flow_statement_combined_FY2021_to_FY2025.csv,ROA/ROE/asset turnover use average assets/equity from available year-end balances; FY2020-21 uses closing balance due to no FY2020 data in this project. Current assets include assets classified as held-for-sale where reported. Cash ratio uses cash plus current investments.
FY2023-24,437927.77,443877.69,27955.11,31806.75,370663.96,93093.93,277570.03,168392.15,173617.0,40014.76,14253.24,98500.09,67915.36,26924.0,-31413.63,7.26,6.38,93.64,9.0,43.66,1.239,0.97,0.69,0.31,-5224.85,1.06,0.75,15.51,6.15,7.17,income_statement_combined_FY2021_to_FY2025.csv,balance_sheet_combined_FY2021_to_FY2025.csv,cash_flow_statement_combined_FY2021_to_FY2025.csv,ROA/ROE/asset turnover use average assets/equity from available year-end balances; FY2020-21 uses closing balance due to no FY2020 data in this project. Current assets include assets classified as held-for-sale where reported. Cash ratio uses cash plus current investments.
FY2024-25,439695.0,445939.0,33780.0,28149.0,378642.0,122754.0,255888.0,160325.0,166684.0,34349.0,27199.0,62499.0,63102.0,22348.0,-38042.0,6.4,7.68,92.37,7.51,26.08,1.174,0.96,0.68,0.37,-6359.0,0.51,0.68,14.35,5.08,8.65,income_statement_combined_FY2021_to_FY2025.csv,balance_sheet_combined_FY2021_to_FY2025.csv,cash_flow_statement_combined_FY2021_to_FY2025.csv,ROA/ROE/asset turnover use average assets/equity from available year-end balances; FY2020-21 uses closing balance due to no FY2020 data in this project. Current assets include assets classified as held-for-sale where reported. Cash ratio uses cash plus current investments.
