financial_year,source_report,unit,revenue,other_operating_revenues,total_revenue_from_operations,other_income,total_income,cost_of_materials_consumed,basis_adjustment_on_hedge_accounted_derivatives,purchase_of_products_for_sale,changes_in_inventories,employee_benefits_expense,finance_costs,ccp_share_fair_value_gain_loss,foreign_exchange_gain_loss_net,depreciation_and_amortisation_expense,product_development_engineering_expenses,other_expenses,amount_transferred_to_capital_and_other_account,total_expenses,profit_before_share_exceptional_items_and_tax,share_of_profit_loss_equity_accounted_investees,profit_before_exceptional_items_and_tax,exceptional_items_loss_net,profit_before_tax,current_tax,deferred_tax,total_tax_expense_credit,profit_from_continuing_operations,profit_loss_from_discontinued_operations,profit_for_year,profit_attributable_to_shareholders,profit_attributable_to_non_controlling_interests,notes
FY2021,tata-motor-IAR-2020-21.pdf,₹ crore,246972.17,2822.58,249794.75,2643.19,252437.94,141357.27,-35.16,12250.09,4684.16,27648.48,8097.17,,-1732.15,23546.71,5226.63,40921.97,-12849.13,249151.2,,-378.96,3286.74,13761.02,-10474.28,1710.18,831.68,2541.86,-13016.14,,-13395.1,-13451.39,56.29,FY21 statement presents share of joint ventures/associates after profit from continuing operations.
FY2022,tata-motor-IAR-2021-22.pdf,₹ crore,275235.23,3218.39,278453.62,3053.63,281507.25,160920.56,1322.5,18374.77,1590.49,30808.52,9311.86,14.45,78.68,24835.69,9209.5,47133.85,-14397.29,287881.08,,-74.06,-6373.83,629.58,-7003.41,2669.98,1561.31,4231.29,-11234.7,,-11308.76,-11441.47,132.71,FY22 statement presents share of joint ventures/associates after profit from continuing operations.
FY2023,tata-motor-IAR-2022-23.pdf,₹ crore,342874.59,3092.38,345966.97,4633.18,350600.15,208944.31,726.26,22306.95,-4781.62,33654.7,10225.48,13.75,-103.88,24860.36,10661.96,61785.96,-18434.84,349133.13,,336.38,1467.02,-1590.53,3057.55,3258.35,-2554.29,704.06,2353.49,,2689.87,2414.29,275.58,FY23 statement presents share of joint ventures/associates after profit from continuing operations.
FY2024,tata-motor-IAR-2023-24.pdf,₹ crore,434984.12,2943.65,437927.77,5949.92,443877.69,249277.79,,25043.44,-1565.53,42486.64,9985.76,47.9,23.84,27270.13,10958.72,78874.98,-26758.35,415645.32,28232.37,699.8,28932.17,977.06,27955.11,4937.13,-8788.77,-3851.64,,,31806.75,31399.09,407.66,FY24 statement includes share of profit in equity accounted investees before profit before exceptional items and tax.
FY2025,tata-motor-IAR-2024-25.pdf,₹ crore,436821,2874,439695,6244,445939,241148,,27802,2836,47767,5083,-84,-922,23256,10716,85399,-31105,411896,34043,287,34330,550,33780,5023,5479,10502,23278,4871,28149,27830,319,FY25 values are rounded to whole crores as presented in FY2024-25 annual report. FY25 includes discontinued operation gain from TMFL/Tata Capital transaction.
