financial_year,fiscal_year_end,source_report,unit,property_plant_and_equipment,capital_work_in_progress,right_of_use_assets,goodwill,other_intangible_assets,intangible_assets_under_development,investment_in_equity_accounted_investees,non_current_investments,non_current_finance_receivables,non_current_loans,non_current_other_financial_assets,deferred_tax_assets_net,non_current_tax_assets_net,other_non_current_assets,total_non_current_assets,inventories,current_investments,trade_receivables,cash_and_cash_equivalents,bank_balances_other_than_cash,current_finance_receivables,current_loans,current_other_financial_assets,current_tax_assets_net,other_current_assets,total_current_assets_excluding_held_for_sale,assets_classified_as_held_for_sale,total_assets,equity_share_capital,other_equity,equity_attributable_to_owners,non_controlling_interests,total_equity,non_current_borrowings,non_current_lease_liabilities,ccps_liability_portion,non_current_other_financial_liabilities,non_current_provisions,deferred_tax_liabilities_net,other_non_current_liabilities,total_non_current_liabilities,current_borrowings,current_lease_liabilities,trade_payables_micro_small_enterprises,trade_payables_others,acceptances,current_other_financial_liabilities,other_current_liabilities,current_provisions,current_tax_liabilities_net,liabilities_associated_with_assets_held_for_sale,total_current_liabilities,total_equity_and_liabilities,notes
FY2020-21,2021-03-31,76th Integrated Annual Report 2020-21,INR crore,79640.05,8377.14,6490.66,803.72,51773.18,12586.79,4200.79,1368.3,16846.82,1204.59,5813.98,4520.35,1003.3,1608.49,196238.16,36088.59,19051.19,12679.08,31700.01,15092.45,17868.09,1749.4,5274.32,865.31,6298.4,146666.84,220.8,343125.8,765.81,54480.91,55246.72,1573.49,56820.21,93112.77,5412.06,,2556.35,13606.76,1555.89,12312.58,128556.41,21662.79,814.0,186.21,67993.63,7860.31,34854.59,10443.18,12848.03,1086.44,0,157749.18,343125.8,Consolidated balance sheet; total_current_assets_excluding_held_for_sale calculated by separating assets classified as held-for-sale.
FY2021-22,2022-03-31,77th Integrated Annual Report 2021-22,INR crore,80900.13,3529.04,6686.02,807.17,50462.13,6722.05,4349.39,2320.92,11135.85,843.35,5179.49,3870.85,1196.79,5639.21,183642.39,35240.34,22709.22,12442.12,38159.01,2510.18,22095.35,1671.93,3799.82,259.84,7565.88,146453.69,523.85,330619.93,765.88,43795.36,44561.24,4271.06,48832.3,97759.17,5962.44,,5333.66,12955.89,1558.44,7535.22,131104.82,41917.87,809.55,183.92,59786.46,9779.95,14420.24,11761.54,10766.31,1253.85,3.12,150682.81,330619.93,Consolidated balance sheet; assets held-for-sale and related liabilities separated for consistency.
FY2022-23,2023-03-31,78th Integrated Annual Report 2022-23 / 79th Integrated Annual Report 2023-24 comparative presentation,INR crore,76641.43,5219.87,7801.04,840.6,46796.69,9054.63,4675.66,2865.19,7416.41,745.31,7153.0,5184.67,1556.36,8602.05,184552.91,40755.39,18838.31,15737.97,31886.95,5128.61,23417.31,123.53,4966.03,259.26,9587.33,150700.69,827.78,336081.38,766.02,44555.77,45321.79,7277.72,52599.51,88695.81,7568.49,2500.0,5822.47,13196.53,1406.95,9264.29,128454.54,36964.66,884.48,316.01,71739.76,7195.99,13828.58,11033.0,11810.66,1254.19,0,155027.33,336081.38,Consolidated balance sheet; FY23 values kept in FY24 comparative presentation for consistent line items.
FY2023-24,2024-03-31,79th Integrated Annual Report 2023-24,INR crore,73124.66,10937.33,8059.49,860.26,39241.05,24761.1,5340.28,3377.55,6094.66,441.58,9084.66,13099.02,2129.73,5720.44,202271.81,47788.29,14253.24,16951.81,40014.76,5791.93,24069.5,196.7,8121.47,101.15,10429.39,167718.24,673.91,370663.96,766.5,84151.52,84918.02,8175.91,93093.93,62148.53,7669.52,2547.9,1673.12,16536.66,1143.35,12233.95,103953.03,36351.56,1092.89,502.31,87540.64,5935.57,15385.12,12990.3,12291.47,1527.14,0,173617.0,370663.96,Consolidated balance sheet.
FY2024-25,2025-03-31,80th Integrated Annual Report 2024-25,INR crore,72536,17624,8476,895,33790,48182,5534,2923,0,99,12185,7176,2045,6852,218317,47269,27199,13248,34349,6485,0,72,18984,411,11794,159811,514,378642,736,115408,116144,6610,122754,40217,7642,2464,901,20935,1669,15376,89204,22282,1399,452,93626,3290,14318,13340,15831,2146,0,166684,378642,Consolidated balance sheet; FY25 report presents values rounded to whole ₹ crore.
