financial_year,source_report,unit,revenue,other_operating_revenues,total_revenue_from_operations,other_income,total_income,cost_of_materials_consumed,basis_adjustment_on_hedge_accounted_derivatives,purchase_of_products_for_sale,changes_in_inventories,employee_benefits_expense,finance_costs,ccp_share_fair_value_gain_loss,foreign_exchange_gain_loss_net,depreciation_and_amortisation_expense,product_development_engineering_expenses,other_expenses,amount_transferred_to_capital_and_other_account,total_expenses,profit_before_share_exceptional_items_and_tax,share_of_profit_loss_equity_accounted_investees,profit_before_exceptional_items_and_tax,exceptional_items_loss_net,profit_before_tax,current_tax,deferred_tax,total_tax_expense_credit,profit_from_continuing_operations,profit_loss_from_discontinued_operations,profit_for_year,profit_attributable_to_shareholders,profit_attributable_to_non_controlling_interests,notes
FY2021,tata-motor-IAR-2020-21.pdf,₹ crore,246972.17,2822.58,249794.75,2643.19,252437.94,141357.27,-35.16,12250.09,4684.16,27648.48,8097.17,,-1732.15,23546.71,5226.63,40921.97,-12849.13,249151.2,,-378.96,3286.74,13761.02,-10474.28,1710.18,831.68,2541.86,-13016.14,,-13395.1,-13451.39,56.29,FY21 statement presents share of joint ventures/associates after profit from continuing operations.
FY2020,tata-motor-IAR-2020-21.pdf,₹ crore,258594.36,2473.61,261067.97,2973.15,264041.12,152671.47,-297.27,12228.35,2231.19,30438.6,7243.33,,1738.74,21425.43,4188.49,57087.46,-17503.4,271749.66,,-1000.0,-7708.54,2871.44,-10579.98,1893.05,-1497.8,395.25,-10975.23,,-11975.23,-12070.85,95.62,FY20 comparative from FY2020-21 annual report.
