financial_year,source_report,unit,revenue,other_operating_revenues,total_revenue_from_operations,other_income,total_income,cost_of_materials_consumed,basis_adjustment_on_hedge_accounted_derivatives,purchase_of_products_for_sale,changes_in_inventories,employee_benefits_expense,finance_costs,ccp_share_fair_value_gain_loss,foreign_exchange_gain_loss_net,depreciation_and_amortisation_expense,product_development_engineering_expenses,other_expenses,amount_transferred_to_capital_and_other_account,total_expenses,profit_before_share_exceptional_items_and_tax,share_of_profit_loss_equity_accounted_investees,profit_before_exceptional_items_and_tax,exceptional_items_loss_net,profit_before_tax,current_tax,deferred_tax,total_tax_expense_credit,profit_from_continuing_operations,profit_loss_from_discontinued_operations,profit_for_year,profit_attributable_to_shareholders,profit_attributable_to_non_controlling_interests,notes
FY2022,tata-motor-IAR-2021-22.pdf,₹ crore,275235.23,3218.39,278453.62,3053.63,281507.25,160920.56,1322.5,18374.77,1590.49,30808.52,9311.86,14.45,78.68,24835.69,9209.5,47133.85,-14397.29,287881.08,,-74.06,-6373.83,629.58,-7003.41,2669.98,1561.31,4231.29,-11234.7,,-11308.76,-11441.47,132.71,FY22 statement presents share of joint ventures/associates after profit from continuing operations.
FY2021,tata-motor-IAR-2021-22.pdf,₹ crore,246972.17,2822.58,249794.75,2643.19,252437.94,141357.27,-35.16,12250.09,4684.16,27648.48,8097.17,,-1732.15,23546.71,5226.63,40921.97,-12849.13,249151.2,,-378.96,3286.74,13761.02,-10474.28,1710.18,831.68,2541.86,-13016.14,,-13395.1,-13451.39,56.29,FY21 comparative from FY2021-22 annual report.
