financial_year,source_report,unit,revenue,other_operating_revenues,total_revenue_from_operations,other_income,total_income,cost_of_materials_consumed,basis_adjustment_on_hedge_accounted_derivatives,purchase_of_products_for_sale,changes_in_inventories,employee_benefits_expense,finance_costs,ccp_share_fair_value_gain_loss,foreign_exchange_gain_loss_net,depreciation_and_amortisation_expense,product_development_engineering_expenses,other_expenses,amount_transferred_to_capital_and_other_account,total_expenses,profit_before_share_exceptional_items_and_tax,share_of_profit_loss_equity_accounted_investees,profit_before_exceptional_items_and_tax,exceptional_items_loss_net,profit_before_tax,current_tax,deferred_tax,total_tax_expense_credit,profit_from_continuing_operations,profit_loss_from_discontinued_operations,profit_for_year,profit_attributable_to_shareholders,profit_attributable_to_non_controlling_interests,notes
FY2024,tata-motor-IAR-2023-24.pdf,₹ crore,434984.12,2943.65,437927.77,5949.92,443877.69,249277.79,,25043.44,-1565.53,42486.64,9985.76,47.9,23.84,27270.13,10958.72,78874.98,-26758.35,415645.32,28232.37,699.8,28932.17,977.06,27955.11,4937.13,-8788.77,-3851.64,,,31806.75,31399.09,407.66,FY24 statement includes share of profit in equity accounted investees before profit before exceptional items and tax.
FY2023,tata-motor-IAR-2023-24.pdf,₹ crore,342874.59,3092.38,345966.97,4633.18,350600.15,208944.31,,22306.95,-4781.62,33654.7,10225.48,13.75,-103.88,24860.36,10661.96,61785.96,-18434.84,349133.13,1467.02,336.38,1803.4,-1590.53,3393.93,3258.35,-2554.29,704.06,,,2689.87,2414.29,275.58,FY23 comparative from FY2023-24 annual report; presentation differs from FY2022-23 report due share of equity accounted investees line positioning.
