financial_year,source_report,unit,revenue,other_operating_revenues,total_revenue_from_operations,other_income,total_income,cost_of_materials_consumed,basis_adjustment_on_hedge_accounted_derivatives,purchase_of_products_for_sale,changes_in_inventories,employee_benefits_expense,finance_costs,ccp_share_fair_value_gain_loss,foreign_exchange_gain_loss_net,depreciation_and_amortisation_expense,product_development_engineering_expenses,other_expenses,amount_transferred_to_capital_and_other_account,total_expenses,profit_before_share_exceptional_items_and_tax,share_of_profit_loss_equity_accounted_investees,profit_before_exceptional_items_and_tax,exceptional_items_loss_net,profit_before_tax,current_tax,deferred_tax,total_tax_expense_credit,profit_from_continuing_operations,profit_loss_from_discontinued_operations,profit_for_year,profit_attributable_to_shareholders,profit_attributable_to_non_controlling_interests,notes
FY2025,tata-motor-IAR-2024-25.pdf,₹ crore,436821,2874,439695,6244,445939,241148,,27802,2836,47767,5083,-84,-922,23256,10716,85399,-31105,411896,34043,287,34330,550,33780,5023,5479,10502,23278,4871,28149,27830,319,FY25 values are rounded to whole crores as presented in FY2024-25 annual report. FY25 includes discontinued operation gain from TMFL/Tata Capital transaction.
FY2024_represented,tata-motor-IAR-2024-25.pdf,₹ crore,431212,2804,434016,5692,439708,249278,,25043,-1566,41990,7594,48,15,27239,10959,77198,-26758,411040,28668,700,29368,939,28429,4937,-8961,-4024,32453,-646,31807,31399,408,FY24 comparative re-presented in FY2024-25 annual report after TMFL discontinued operation presentation.
