financial_year,source_report,unit,revenue,other_operating_revenues,total_revenue_from_operations,other_income,total_income,cost_of_materials_consumed,basis_adjustment_on_hedge_accounted_derivatives,purchase_of_products_for_sale,changes_in_inventories,employee_benefits_expense,finance_costs,ccp_share_fair_value_gain_loss,foreign_exchange_gain_loss_net,depreciation_and_amortisation_expense,product_development_engineering_expenses,other_expenses,amount_transferred_to_capital_and_other_account,total_expenses,profit_before_share_exceptional_items_and_tax,share_of_profit_loss_equity_accounted_investees,profit_before_exceptional_items_and_tax,exceptional_items_loss_net,profit_before_tax,current_tax,deferred_tax,total_tax_expense_credit,profit_from_continuing_operations,profit_loss_from_discontinued_operations,profit_for_year,profit_attributable_to_shareholders,profit_attributable_to_non_controlling_interests,notes
FY2023,tata-motor-IAR-2022-23.pdf,₹ crore,342874.59,3092.38,345966.97,4633.18,350600.15,208944.31,726.26,22306.95,-4781.62,33654.7,10225.48,13.75,-103.88,24860.36,10661.96,61785.96,-18434.84,349133.13,,336.38,1467.02,-1590.53,3057.55,3258.35,-2554.29,704.06,2353.49,,2689.87,2414.29,275.58,FY23 statement presents share of joint ventures/associates after profit from continuing operations.
FY2022,tata-motor-IAR-2022-23.pdf,₹ crore,275235.23,3218.39,278453.62,3053.63,281507.25,160920.56,1322.5,18374.77,1590.49,30808.52,9311.86,14.45,78.68,24835.69,9209.5,47133.85,-14397.29,287881.08,,-74.06,-6373.83,629.58,-7003.41,2669.98,1561.31,4231.29,-11234.7,,-11308.76,-11441.47,132.71,FY22 comparative from FY2022-23 annual report.
